J A I P	R
J A M E	S
J A S O	N
J Acquir Immun Defic	Syndr
J Acquir Immune Defic	Syndr
J Adult Orthod Orthognath	Surg
J Adult Orthodon Orthognath	Surg
J Air Pollut Control	Assoc
J Air Waste Manage	Assoc
J Am Acad Child	Adolesc Psychiatry Adol Psych
J Am Acad Nurse	Pract
J Am Acad Orthop	Surg
J Am Acad Psychiatry	Law
J Am Anim Hosp	Assoc
J Am Assoc Gynecol	Laparosc
J Am Assoc Pediatr	Ophthalmol
J Am Board Fam	Pract
J Am Coll Emerg	Phys Physicians
J Am Intraocul Implant	Soc
J Am Med Dir	Assoc
J Am Med Inform	Assoc
J Am Med Informatics	Assoc
J Am Med Wom	Assoc
J Am Med Womens	Assoc
J Am Med Worn	Assoc
J Am Mosq Control	Assoc
J Am Oil Chem	Soc
J Am Phys Ther	Assoc
J Am Podiatr Med	Assoc
J Am Soc Brew	Chem
J Am Soc Hort	Sci
J Am Soc Hortic	Sci
J Am Soc Mass	Spectrom
J Am Vener Dis	Assoc
J Am Vet Med	Assoc
J Am Water Works	Assoc
J Amer Acad Child	Adolesc
J Amer Oil Chem	Soc
J Amer Soc Hort	Sci
J Amer Vet Med	Assoc
J Appl Physiol Occup	Physiol
J Appl Physiol Respir	Environ
J Assoc Nurses AIDS	Care
J Assoc Off Anal	Chem
J At the end	of
J At the same	time
J Behav Ther Exp	Psychiatry
J Biol Regul Homeost	Agents
J Biomater Sci Polym	Ed
J Biomed Mater Res	A Symp
J Bone Joint Surg	Am Br I
J Bone and Joint	Surg
J Cancer B Oral	Oncol
J Cancer Res Clin	Oncol
J Cereb Blood Flow	Metab Metabol
J Cerebr Blood Flow	Metab
J Cerebral Blood Flow	Metab
J Chem Inf Comput	Sci
J Chem Soc Chem	Commun Comm
J Chem Soc Dalton	Trans
J Chem Soc Faraday	Trans
J Chem Soc Perkin	Trans
J Chest Dis Allied	Sci
J Child Psychol Psychiatry	Allied
J Chromatogr B Analyt	Technol
J Chromatogr B Biomed	Sci Appl
J Clin Chem Clin	Biochem
J Clin Endocrinol Me	tab
J Clin Lab Invest	Suppl
J Clin Laser Med	Surg
J Clin Microbiol Infect	Dis
J Clin Pharmacol Ther	Toxicol
J Comput Aided Mol	Des
J Contracept Reprod Health	Care
J Craniofac Genet Dev	Biol
J Craniomandib Disord Facial	Oral
J DO NOT REMOVE	OR
J Environ Pathol Toxicol	Oncol
J Eur Acad Dermatol	Venereol
J Exp Biol Med	Sci
J Exp Clin Cancer	Res
J Exp Mar Biol	Ecol
J Exp Psychol Anim	Behav
J Exp Psychol Hum	Percept
J Exp Psychol Learn	Mem
J Expo Anal Environ	Epidemiol
J F M A	M
J File Edit View	Insert
J Fish Res Bd	Can
J Fish Res Board	Can
J Gerontol A Biol	Sci
J Gerontol B Psychol	Sci
J Gynecol Obstet Biol	Reprod
J Health Care Poor	Underserved
J Health Polit Policy	Law
J Health Serv Res	Policy
J Hematother Stem Cell	Res
J Hist Med Allied	Sci
J Hyg Epidemiol Microbiol	Immunol
J I H G	F
J I I I	I
J I J J	J I
J IJ J J	J
J Immunother Emphasis Tumor	Immunol
J In Vitro Fert	Embryo
J In Vitro Fertil	Embryo
J In addition to	the
J In the case	of
J In the course	of
J Indian Soc Soil	Sci
J Invest Dermatol Symp	Proc
J Investig Allergol Clin	Immunol
J Investig Dermatol Symp	Proc
J It is difficult	to
J It is important	to
J It is probable	that
J It is to	be
J It is true	that
J J A S	O
J J I J	J
J J IJ J	J
